run_id,model,suite,quant_label,n,acc_f16,acc_quant,delta,ci_lo,ci_hi,p_mcnemar,b_lost,c_gained,truncated_f16,truncated_quant,state,seed_rule
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q8_0,96,0.989583,0.979167,-0.010417,-0.031250,0.000000,1.000000,1,0,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q6_K,96,0.989583,0.989583,0.000000,-0.031250,0.031250,1.000000,1,1,0,1,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q5_K_M,96,0.989583,0.989583,0.000000,-0.031250,0.031250,1.000000,1,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q4_K_M,96,0.989583,1.000000,0.010417,0.000000,0.031250,1.000000,0,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q3_K_M,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,Q2_K,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,0,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,longctx_retrieval,IQ2_M,96,0.989583,0.885417,-0.104167,-0.177083,-0.041667,0.006348,11,1,0,6,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q8_0,500,0.864000,0.870000,0.006000,-0.014000,0.026000,0.690038,11,14,4,7,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q6_K,500,0.864000,0.870000,0.006000,-0.018000,0.030000,0.742829,17,20,4,8,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q5_K_M,500,0.864000,0.840000,-0.024000,-0.052000,0.004000,0.118920,31,19,4,7,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q4_K_M,500,0.864000,0.862000,-0.002000,-0.028000,0.024000,1.000000,22,21,4,9,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q3_K_M,500,0.864000,0.848000,-0.016000,-0.046000,0.012000,0.349682,32,24,4,11,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,Q2_K,500,0.864000,0.746000,-0.118000,-0.158000,-0.080000,0.000000,83,24,4,29,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic,IQ2_M,500,0.864000,0.738000,-0.126000,-0.166000,-0.088000,0.000000,84,21,4,19,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q8_0,94,0.851064,0.893617,0.042553,-0.010638,0.106383,0.289062,2,6,2,3,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q6_K,94,0.851064,0.819149,-0.031915,-0.106383,0.031915,0.548828,7,4,2,5,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q5_K_M,94,0.851064,0.861702,0.010638,-0.053191,0.085106,1.000000,5,6,2,1,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q4_K_M,94,0.851064,0.797872,-0.053191,-0.138298,0.021277,0.301758,10,5,2,5,indeterminate,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q3_K_M,94,0.851064,0.765957,-0.085106,-0.159574,-0.010638,0.057373,11,3,2,5,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,Q2_K,94,0.851064,0.659574,-0.191489,-0.287234,-0.095745,0.000277,21,3,2,6,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,arithmetic_twins,IQ2_M,94,0.851064,0.670213,-0.180851,-0.276596,-0.085106,0.000488,20,3,2,2,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q8_0,500,0.220000,0.212000,-0.008000,-0.018000,0.000000,0.218750,5,1,1,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q6_K,500,0.220000,0.206000,-0.014000,-0.028000,0.000000,0.092285,10,3,1,1,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q5_K_M,500,0.220000,0.222000,0.002000,-0.014000,0.018000,1.000000,8,9,1,1,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q4_K_M,500,0.220000,0.210000,-0.010000,-0.028000,0.008000,0.383310,13,8,1,2,equivalent,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
0b-llama-8b-ladder,llama-3.1-8b-instruct,factual_qa,Q3_K_M,500,0.220000,0.176000,-0.044000,-0.068000,-0.020000,0.000472,30,8,1,4,damaged,"random.Random(f""3:{run_id}:{quant_label}:{suite}"")"
